Model,MSS,Image,AUC,NSS,IG,LL
gold_standard,2,cmp_building_050_bird_006.jpg,0.8821025270130693,2.507605111407981,1.0903206733418216,1.637310538818801
gold_standard,2,cmp_building_056_bird_012.jpg,0.8268159442704878,1.6470422670291338,2.1880611571767967,1.055429376540179
gold_standard,2,cmp_building_062_dog_019.jpg,0.8566834776425571,1.8965426019923717,1.5050074131359654,1.3038158317189108
gold_standard,2,cmp_desks_003_plants_001.jpg,0.8189978171639165,1.6332758748859493,1.585013242446907,1.0581361111441099
gold_standard,2,cmp_field_008_farmanimals_008.jpg,0.8431020015218812,1.7142269023627226,2.221397157597144,1.2536403580969209
gold_standard,2,cmp_jungle_015_bird_015.jpg,0.8103546389598532,1.4053163206150114,2.192502583536365,0.940320923642706
gold_standard,2,cmp_meadow_003_dogs_002.jpg,0.8351324666466979,1.7938423285966016,2.2148350300937163,1.1943229941227924
gold_standard,2,cmp_mountain_003_cow_001.jpg,0.8312895707474551,1.6990076515517882,2.390557168269038,1.1230563460130842
gold_standard,2,cmp_mountain_017_sheep_005.jpg,0.8003337813827371,1.332149095854698,2.236723339665449,0.8721966293536835
gold_standard,2,cmp_mountain_025_cow_005.jpg,0.8264897600655061,2.0446800519626183,1.7992630038814443,1.1440324302352602
gold_standard,2,cmp_sanddunes_001_motorcycle_001.jpg,0.8755850626546925,1.9476411758263827,2.840026568492397,1.5565244860859038
gold_standard,2,cmp_shelves_008_fruitvegetal_001.jpg,0.863579041504707,2.0650942547872218,2.727642531585074,1.454914992867295
gold_standard,2,cmp_shelves_020_remote_004.jpg,0.9179568342534767,2.4492841160151126,1.918879948763996,2.1191122436674275
gold_standard,2,cmp_shelves_032_book_005.jpg,0.8596049204049807,1.535071176476615,1.711441378005709,1.3748473526009384
gold_standard,2,cmp_shelves_039_book_012.jpg,0.8527523000084979,1.946864037501572,1.6060240821311487,1.401561715303584
gold_standard,2,cmp_shelves_049_toys_008.jpg,0.844645850522546,1.6536574984721335,1.6800127207845785,1.2296944118821826
gold_standard,2,cmp_shelves_052_toys_011.jpg,0.8320514374139755,1.5273178285210054,1.768652661013995,1.1208272249210187
gold_standard,2,cmp_shelves_058_toys_017.jpg,0.8556417473703127,1.931889567214914,2.660367316314449,1.3344433970375043
gold_standard,2,cmp_shelves_067_toys_026.jpg,0.8619885517871999,1.727751661281051,1.19097245420897,1.3806334219481613
gold_standard,2,cmp_shelves_073_toys_032.jpg,0.8663978802748115,2.180345113480456,1.1062379187797293,1.5675913976107758
gold_standard,2,cmp_shelves_087_vase_006.jpg,0.9221107567592162,3.1284459409039025,0.7010952250407455,2.2405841193282425
gold_standard,2,cmp_shelves_101_teddybear_014.jpg,0.7927778264026876,1.5879418467353175,2.1611886998736307,0.8729833333488711
gold_standard,2,cmp_shelves_107_teddybear_020.jpg,0.8581559920385934,1.7647872128379178,1.9364647421081538,1.3624223645841416
gold_standard,2,cmp_shelves_114_teddybear_024.jpg,0.8893291182764813,2.1246653983186135,1.0080399633809864,1.7132279947998772
gold_standard,2,cmp_sky_003_kite_003.jpg,0.8621999840838106,2.6896697789313784,1.31213935786748,1.5665986201833397
gold_standard,2,cmp_snow_004_dog_001.jpg,0.8444598355963012,1.7266596007213662,2.0116131283608225,1.2286036945167949
